Year,Percent(Jan 1stDay-LastDay Ratio)
1996,2.365932665
1997,6.66883249
1998,0.537419092
1999,4.196729909
2000,-4.175314469
2001,6.44759004
2002,-2.119228184
2003,-5.866694751
2004,2.043340918
2005,-1.731160718
2006,0.88902164
2007,1.527602313
2008,-4.74100883
2009,-11.36724451
2010,-5.218050956
2011,1.120397529
2012,2.768074591
2013,2.440471269
2014,-2.695990925
2015,-3.071128292
2016,-3.598225372
