Date,Value,Ratio,HALF_YEAR
1996/6/10,672.159973,108.1825735,105.2871267
1996/6/11,670.969971,107.9910454,105.2871267
1996/6/12,669.039978,107.6804176,105.2871267
1996/6/13,667.919983,107.500157,105.2871267
1996/6/14,665.849976,107.1669942,105.2871267
1996/6/17,665.159973,107.0559399,105.2871267
1996/6/18,662.059998,106.5570061,105.2871267
1996/6/19,661.960022,106.5409152,105.2871267
1996/6/20,662.099976,106.5634405,105.2871267
1996/6/21,666.840027,107.3263406,105.2871267
1996/6/24,668.849976,107.6498372,105.2871267
1996/6/25,668.47998,107.5902872,105.2871267
1996/6/26,664.390015,106.9320169,105.2871267
1996/6/27,668.549988,107.6015548,105.2871267
1996/6/28,670.630005,107.9363287,105.2871267
1996/7/1,675.880005,108.7813039,105.2871267
1996/7/2,673.609985,108.4159495,105.2871267
1996/7/3,672.400024,108.2212091,105.2871267
1996/7/5,657.440002,105.8134286,105.2871267
1996/7/8,652.539978,105.0247812,105.2871267
1996/7/9,654.75,105.3804791,105.2871267
1996/7/10,656.059998,105.5913202,105.2871267
1996/7/11,645.669983,103.9190716,105.2871267
1996/7/12,646.190002,104.0027674,105.2871267
1996/7/15,629.799988,101.3648331,105.2871267
1996/7/16,628.369995,101.1346791,105.2871267
1996/7/17,634.070007,102.0520826,105.2871267
1996/7/18,643.559998,103.5794745,105.2871267
1996/7/19,638.72998,102.8020944,105.2871267
1996/7/22,633.77002,102.0038004,105.2871267
1996/7/23,626.869995,100.8932576,105.2871267
1996/7/24,626.650024,100.8578538,105.2871267
1996/7/25,631.169983,101.5853306,105.2871267
1996/7/26,635.900024,102.3466196,105.2871267
1996/7/29,630.909973,101.5434826,105.2871267
1996/7/30,635.26001,102.2436108,105.2871267
1996/7/31,639.950012,102.9984557,105.2871267
1996/8/1,650.02002,104.6191999,105.2871267
1996/8/2,662.48999,106.6262123,105.2871267
1996/8/5,660.22998,106.262469,105.2871267
1996/8/6,662.380005,106.6085105,105.2871267
1996/8/7,664.159973,106.8949922,105.2871267
1996/8/8,662.590027,106.6423131,105.2871267
1996/8/9,662.099976,106.5634405,105.2871267
1996/8/12,665.77002,107.1541255,105.2871267
1996/8/13,660.200012,106.2576457,105.2871267
1996/8/14,662.049988,106.5553951,105.2871267
1996/8/15,662.280029,106.5924196,105.2871267
1996/8/16,665.210022,107.0639951,105.2871267
1996/8/19,666.580017,107.2844926,105.2871267
1996/8/20,665.690002,107.1412468,105.2871267
1996/8/21,665.070007,107.04146,105.2871267
1996/8/22,670.679993,107.9443741,105.2871267
1996/8/23,667.030029,107.356921,105.2871267
1996/8/26,663.880005,106.849932,105.2871267
1996/8/27,666.400024,107.2555232,105.2871267
1996/8/28,664.809998,106.9996122,105.2871267
1996/8/29,657.400024,105.8069942,105.2871267
1996/8/30,651.98999,104.9362619,105.2871267
1996/9/3,654.719971,105.375646,105.2871267
1996/9/4,655.609985,105.5188917,105.2871267
1996/9/5,649.440002,104.5258473,105.2871267
1996/9/6,655.679993,105.5301593,105.2871267
1996/9/9,663.76001,106.8306191,105.2871267
1996/9/10,663.809998,106.8386645,105.2871267
1996/9/11,667.280029,107.3971579,105.2871267
1996/9/12,671.150024,108.0200245,105.2871267
1996/9/13,680.539978,109.5313156,105.2871267
1996/9/16,683.97998,110.0849759,105.2871267
1996/9/17,682.940002,109.9175939,105.2871267
1996/9/18,681.469971,109.6809958,105.2871267
1996/9/19,683,109.9272504,105.2871267
