Date,Value,Ratio,NEW_HALF_YEAR
1996/7/10,656.059998,105.5913202,102.145432
1996/7/11,645.669983,103.9190716,102.145432
1996/7/12,646.190002,104.0027674,102.145432
1996/7/15,629.799988,101.3648331,102.145432
1996/7/16,628.369995,101.1346791,102.145432
1996/7/17,634.070007,102.0520826,102.145432
1996/7/18,643.559998,103.5794745,102.145432
1996/7/19,638.72998,102.8020944,102.145432
1996/7/22,633.77002,102.0038004,102.145432
1996/7/23,626.869995,100.8932576,102.145432
1996/7/24,626.650024,100.8578538,102.145432
1996/7/25,631.169983,101.5853306,102.145432
1996/7/26,635.900024,102.3466196,102.145432
1996/7/29,630.909973,101.5434826,102.145432
1996/7/30,635.26001,102.2436108,102.145432
1996/7/31,639.950012,102.9984557,102.145432
1996/8/1,650.02002,104.6191999,102.145432
1996/8/2,662.48999,106.6262123,102.145432
1996/8/5,660.22998,106.262469,102.145432
1996/8/6,662.380005,106.6085105,102.145432
1996/8/7,664.159973,106.8949922,102.145432
1996/8/8,662.590027,106.6423131,102.145432
1996/8/9,662.099976,106.5634405,102.145432
1996/8/12,665.77002,107.1541255,102.145432
1996/8/13,660.200012,106.2576457,102.145432
1996/8/14,662.049988,106.5553951,102.145432
1996/8/15,662.280029,106.5924196,102.145432
1996/8/16,665.210022,107.0639951,102.145432
1996/8/19,666.580017,107.2844926,102.145432
1996/8/20,665.690002,107.1412468,102.145432
1996/8/21,665.070007,107.04146,102.145432
1996/8/22,670.679993,107.9443741,102.145432
1996/8/23,667.030029,107.356921,102.145432
1996/8/26,663.880005,106.849932,102.145432
1996/8/27,666.400024,107.2555232,102.145432
1996/8/28,664.809998,106.9996122,102.145432
1996/8/29,657.400024,105.8069942,102.145432
1996/8/30,651.98999,104.9362619,102.145432
1996/9/3,654.719971,105.375646,102.145432
1996/9/4,655.609985,105.5188917,102.145432
1996/9/5,649.440002,104.5258473,102.145432
1996/9/6,655.679993,105.5301593,102.145432
1996/9/9,663.76001,106.8306191,102.145432
1996/9/10,663.809998,106.8386645,102.145432
1996/9/11,667.280029,107.3971579,102.145432
1996/9/12,671.150024,108.0200245,102.145432
1996/9/13,680.539978,109.5313156,102.145432
1996/9/16,683.97998,110.0849759,102.145432
1996/9/17,682.940002,109.9175939,102.145432
1996/9/18,681.469971,109.6809958,102.145432
1996/9/19,683,109.9272504,102.145432
1996/9/20,687.030029,110.5758741,102.145432
1996/9/23,686.47998,110.4873451,102.145432
1996/9/24,685.609985,110.3473214,102.145432
1996/9/25,685.830017,110.382735,102.145432
1996/9/26,685.859985,110.3875583,102.145432
1996/9/27,686.190002,110.4406738,102.145432
1996/9/30,687.330017,110.6241565,102.145432
1996/10/1,689.080017,110.9058149,102.4055029
1996/10/2,694.01001,111.6992857,103.1381586
1996/10/3,692.780029,111.5013232,102.9553687
1996/10/4,701.460022,112.8983477,104.2453191
1996/10/7,703.340027,113.2009301,104.5247103
1996/10/8,700.640015,112.7663695,104.1234563
1996/10/9,696.73999,112.1386696,103.5438661
1996/10/10,694.609985,111.7958503,103.227322
1996/10/11,700.659973,112.7695817,104.1264223
1996/10/14,703.539978,113.2331118,104.5544254
1996/10/15,702.570007,113.0769972,104.4102761
1996/10/16,704.409973,113.3731354,104.683717
1996/10/17,706.98999,113.7883831,105.0671383
1996/10/18,710.820007,114.4048154,105.6363245
1996/10/21,709.849976,114.2486912,105.4921663
1996/10/22,706.570007,113.7207878,105.0047238
1996/10/23,707.27002,113.8334533,105.1087541
1996/10/24,702.289978,113.0319272,104.3686605
1996/10/25,700.919983,112.8114297,104.1650629
1996/10/28,697.26001,112.2223656,103.6211473
1996/10/29,701.5,112.9047821,104.2512603
1996/10/30,700.900024,112.8082174,104.1620968
1996/10/31,705.27002,113.511558,104.8115303
1996/11/1,703.77002,113.2701365,104.5886124
1996/11/4,706.72998,113.7465351,105.0284977
1996/11/5,714.140015,114.9391629,106.1297172
1996/11/6,724.590027,116.6210679,107.6827135
1996/11/7,727.650024,117.1135672,108.1374656
1996/11/8,730.820007,117.6237686,108.6085628
1996/11/11,731.869995,117.7927617,108.7646035
1996/11/12,729.559998,117.4209731,108.4213105
1996/11/13,731.130005,117.673662,108.6546322
1996/11/14,735.880005,118.4381634,109.3605388
1996/11/15,737.619995,118.7182107,109.6191221
1996/11/18,737.02002,118.6216461,109.5299586
1996/11/19,742.159973,119.4489095,110.2938169
1996/11/20,743.950012,119.7370121,110.559838
1996/11/21,742.75,119.543873,110.381502
1996/11/22,748.72998,120.5063368,111.2701983
1996/11/25,757.030029,121.8422102,112.5036845
1996/11/26,755.960022,121.6699951,112.3446687
1996/11/27,755,121.5154818,112.201998
1996/11/29,757.02002,121.8405993,112.502197
1996/12/2,756.559998,121.7665598,112.4338322
1996/12/3,748.280029,120.4339182,111.2033302
