Year,Percent
1996,2.221268236
1997,6.230197763
1998,-2.692243889
1999,-3.897007951
2000,-3.245361757
2001,-0.838570757
2002,-1.778247399
2003,5.160977804
2004,0.285466897
2005,2.524606349
2006,-2.689261838
2007,2.981897634
2008,-0.63575583
2009,4.742911165
2010,-9.386486705
2011,-1.176886935
2012,-6.792476538
2013,3.035321949
2014,2.117657503
2015,-0.042695549
2016,0.745642155
