Year,Percent(Apl 1stDay-lastDay return)
1996,0.067306535
1997,5.489443839
1998,0.324863594
1999,3.204718481
2000,-3.555178259
2001,9.040289601
2002,-6.07218175
2003,6.807380994
2004,-2.196666051
2005,-1.370090662
2006,0.986271135
2007,4.058821664
2008,1.124663285
2009,7.610837366
2010,0.729137185
2011,2.341617836
2012,-1.489035152
2013,2.266072259
2014,-0.083269813
2015,1.253590091
2016,-0.360867043
