Year,Percent
1996,0.44183022270071454
1997,4.5819781992646895
1998,3.9285767645342062
1999,6.061374870108214
2000,0.39963257875199915
2001,-2.878631024249195
2002,-4.887193408244173
2003,0.7755946225439504
2004,1.751696027321709
2005,-0.9058254947255363
2006,-1.2063381688305956
2007,-2.147310538688416
2008,-7.625916751073242
2009,-2.4976919538096007
2010,-3.7358389719884184
2011,0.46327380266979884
2012,6.581953024399732
2013,-2.081175191980277
2014,1.8317173530599498
2015,-2.302371679167054
2016,-0.022386713024553105
