Year,Percent
1996,2.349509868314763
1997,-4.269369082669186
1998,11.382924329378985
1999,6.2456631391288475
2000,-0.4755475164221289
2001,2.044194212926186
2002,4.463921666834779
2003,3.190861594287079
2004,-0.1148960671674719
2005,-1.6051146805662577
2006,3.5017874658958963
2007,0.15125439167770655
2008,-16.563317074711286
2009,0.6156202503033432
2010,3.229691890264615
2011,14.016181490974242
2012,-2.2381571505386506
2013,3.6306807669616505
2014,3.693941594938741
2015,8.084964568716448
2016,-1.6217864979953418
