Year,Percent(Feb 1stDay-LastDay Ratio)
1996,0.308550408
1997,0.519876845
1998,4.800897364
1999,-2.72349128
2000,-3.041268174
2001,-9.722093152
2002,-1.378539625
2003,-2.228238661
2004,0.852662026
2005,1.193023566
2006,-0.140349567
2007,-2.705506217
2008,-4.643049186
2009,-10.9456744
2010,1.404718169
2011,1.501235518
2012,3.141031884
2013,0.099791164
2014,6.748987306
2015,4.139348541
2016,-0.368675813
