Year,Percent(MARCH 1stDay-lastDay Ratio)
1996,0.175365863
1997,-4.801901535
1998,5.158924456
1999,4.061768672
2000,8.65653174
2001,-6.517730421
2002,1.379242044
2003,1.601561437
2004,-2.574462205
2005,-2.463633576
2006,0.281125509
2007,1.260712561
2008,-0.648971354
2009,13.84806185
2010,4.814879752
2011,1.492731596
2012,2.502019944
2013,3.358581982
2014,1.441705249
2015,-2.337783899
2016,4.11403518
