Date,Close,TOPIX,HALF_YEAR
1996/1/4,1631.06,100,100
1996/1/5,1632.03,100.0594705,100.0594705
1996/1/8,1621.42,99.40897331,99.40935993
1996/1/9,1622.83,99.49542016,99.49632075
1996/1/10,1617.45,99.16557331,99.16480111
1996/1/11,1599.98,98.0944907,98.0847059
1996/1/12,1592.21,97.61811337,97.59907483
1996/1/16,1603.08,98.28455115,98.28177372
1996/1/17,1605.01,98.40287911,98.40216696
1996/1/18,1587.31,97.31769524,97.2993701
1996/1/19,1585.52,97.20795066,97.1866007
1996/1/22,1570.39,96.28033303,96.23233963
1996/1/23,1564.1,95.89469425,95.83180219
1996/1/24,1573.63,96.47897686,96.44109826
1996/1/25,1583.64,97.09268819,97.07720714
1996/1/26,1597.14,97.9203708,97.9296736
1996/1/29,1593.22,97.6800363,97.68423489
1996/1/30,1598.14,97.98168062,97.99304345
1996/1/31,1613.11,98.89948868,98.92975739
1996/2/1,1624.52,99.59903376,99.63708671
1996/2/2,1617.51,99.1692519,99.20557464
1996/2/5,1601,98.15702672,98.18486997
1996/2/6,1602.89,98.27290228,98.30292118
1996/2/7,1622.14,99.45311638,99.50387696
1996/2/8,1630.07,99.93930328,99.99273736
1996/2/9,1620.5,99.35256827,99.40564601
1996/2/13,1610.23,98.72291639,98.77189099
1996/2/14,1617.41,99.16312092,99.21779003
1996/2/15,1610.26,98.72475568,98.77572524
1996/2/16,1603.74,98.32501563,98.37082168
1996/2/19,1596.51,97.88174561,97.92000048
1996/2/20,1589.91,97.47710078,97.50659875
1996/2/21,1572.71,96.42257182,96.4247765
1996/2/22,1572.46,96.40724437,96.40888038
1996/2/23,1568.18,96.14483833,96.1366954
1996/2/26,1572.12,96.38639903,96.38794206
1996/2/27,1553.37,95.23683985,95.19528502
1996/2/28,1547.22,94.85978443,94.79937161
1996/2/29,1560.46,95.67152649,95.65509995
1996/3/1,1564.83,95.93945042,95.93514558
1996/3/4,1556.04,95.40053707,95.37342321
1996/3/5,1554.08,95.28036982,95.24746244
1996/3/6,1551.9,95.14671441,95.10718653
1996/3/7,1530.17,93.81445195,93.70696744
1996/3/8,1543.9,94.65623582,94.60425336
1996/3/11,1525.48,93.52690888,93.41117091
1996/3/12,1535.75,94.15656076,94.08440162
1996/3/13,1524.12,93.44352752,93.32711691
1996/3/14,1533.89,94.04252449,93.96814255
1996/3/15,1552.35,95.17430383,95.17161869
1996/3/18,1558.79,95.56913909,95.58647359
1996/3/19,1569.73,96.23986855,96.2883
1996/3/21,1588.01,97.36061212,97.45283148
1996/3/22,1584.91,97.17055167,97.25761861
1996/3/25,1598.54,98.00620455,98.11760434
1996/3/26,1603.66,98.32011085,98.43789661
1996/3/27,1619.63,99.29922872,99.43374361
1996/3/28,1620.69,99.36421713,99.49919065
1996/3/29,1636.88,100.3568232,100.4981479
1996/4/1,1649.75,101.1458806,101.2843998
1996/4/2,1650.02,101.1624342,101.3007659
1996/4/3,1645.59,100.8908317,101.0322843
1996/4/4,1642.5,100.7013844,100.8445097
1996/4/5,1658.73,101.6964428,101.8326376
1996/4/8,1645.12,100.8620161,101.0121303
1996/4/9,1664.98,102.0796292,102.2193371
1996/4/10,1669.71,102.3696247,102.5034246
1996/4/11,1672.34,102.5308695,102.660937
1996/4/12,1672.69,102.5523279,102.6818657
1996/4/15,1683.01,103.1850453,103.298836
1996/4/16,1679.33,102.9594252,103.0801802
1996/4/17,1677.48,102.846002,102.9700172
1996/4/18,1673.31,102.59034,102.72143
1996/4/19,1679.4,102.9637168,103.0853792
1996/4/22,1696.42,104.00721,104.0988364
1996/4/23,1702.61,104.3867178,104.4637225
1996/4/24,1711.8,104.9501551,105.003482
1996/4/25,1714.05,105.0881022,105.1349226
1996/4/26,1718,105.330276,105.365371
1996/4/30,1712.42,104.9881672,105.0405747
1996/5/1,1697.61,104.0801687,105.0405747
1996/5/2,1685.8,103.3560997,105.0405747
1996/5/7,1670.47,102.4162201,105.0405747
1996/5/8,1681.18,103.0728483,105.0405747
1996/5/9,1664.76,102.066141,105.0405747
1996/5/10,1657.94,101.648008,105.0405747
1996/5/13,1643.1,100.7381703,105.0405747
1996/5/14,1652.01,101.2844408,105.0405747
1996/5/15,1690.16,103.6234105,105.0405747
1996/5/16,1697.56,104.0771032,105.0405747
1996/5/17,1684.33,103.2659743,105.0405747
